denylist_tier,openalex_id,s2_id,arxiv_id,doi,title,year,venue,domain,sources
seed,https://openalex.org/W7133365288,,2603.00466,,DreamWorld: Unified World Modeling in Video Generation,2026,arXiv 2026,cs,arena_task;gene_card
seed,https://openalex.org/W7133224126,1b6e810ce0afd0dd093f789d2b2742d047e316d5,2201.11903,,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2022,NeurIPS 2022,cs,arena_task;gene_card
seed,https://openalex.org/W4221161695,,2203.11171,,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2023,ICLR 2023,cs,arena_task;gene_card
seed,https://openalex.org/W4377130677,2f3822eb380b5e753a6d579f31dfc3ec4c4a0820,2305.10601,,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,NeurIPS 2023,cs,arena_task;gene_card
1hop_referenced,https://openalex.org/W1019830208,,,https://doi.org/10.1038/nbt.3300,Predicting the sequence specificities of DNA- and RNA-binding proteins by deep learning,2015,Nature Biotechnology,,
1hop_referenced,https://openalex.org/W1581058135,,,https://doi.org/10.1073/pnas.242597299,Gene expression profiling of isogenic cells with different <i>TP53</i> gene dosage reveals numerous genes that are affected by <i>TP53</i> dosage and identifies <i>CSPG2</i> as a direct target of p53,2002,Proceedings of the National Academy of Sciences,,
1hop_referenced,https://openalex.org/W1988864819,,,https://doi.org/10.1103/physrevlett.73.3169,Linguistic Features of Noncoding DNA Sequences,1994,Physical Review Letters,,
1hop_referenced,https://openalex.org/W1991864975,,,https://doi.org/10.1093/nar/12.5.2561,Genome structure described by formal languages,1984,Nucleic Acids Research,,
1hop_referenced,https://openalex.org/W1997535872,,,https://doi.org/10.1038/nrg3813,A census of human RNA-binding proteins,2014,Nature Reviews Genetics,,
1hop_referenced,https://openalex.org/W2013032282,,,https://doi.org/10.1111/j.1749-6632.1999.tb08916.x,"The Linguistics of DNA: Words, Sentences, Grammar, Phonetics, and Semantics",1999,Annals of the New York Academy of Sciences,,
1hop_referenced,https://openalex.org/W2039176012,,,https://doi.org/10.1186/gb-2012-13-8-418,An encyclopedia of mouse DNA elements (Mouse ENCODE),2012,Genome biology,,
1hop_referenced,https://openalex.org/W2058302256,,,https://doi.org/10.1007/bf02481771,Formal language theory and DNA: An analysis of the generative capacity of specific recombinant behaviors,1987,Bulletin of Mathematical Biology,,
1hop_referenced,https://openalex.org/W2060995975,,,https://doi.org/10.1073/pnas.53.5.1161,"RNA codewords and protein synthesis, VII. On the general nature of the RNA code.",1965,Proceedings of the National Academy of Sciences,,
1hop_referenced,https://openalex.org/W2064675550,,,https://doi.org/10.1162/neco.1997.9.8.1735,Long Short-Term Memory,1997,Neural Computation,,
1hop_referenced,https://openalex.org/W2077318478,,,https://doi.org/10.1093/bioinformatics/btu273,GRASP: analysis of genotype–phenotype results from 1390 genome-wide association studies and corresponding open access database,2014,Bioinformatics,,
1hop_referenced,https://openalex.org/W2083921257,,,https://doi.org/10.1016/s0092-8674(03)00348-9,The Multiple Sulfatase Deficiency Gene Encodes an Essential and Limiting Factor for the Activity of Sulfatases,2003,Cell,,
1hop_referenced,https://openalex.org/W2093205346,,,https://doi.org/10.1038/nature01255,The language of genes,2002,Nature,,
1hop_referenced,https://openalex.org/W2094074349,,,https://doi.org/10.1016/j.tig.2008.01.008,The functional consequences of alternative promoter use in mammalian genomes,2008,Trends in Genetics,,
1hop_referenced,https://openalex.org/W2095998476,,,https://doi.org/10.1261/rna.876308,Splicing regulation: From a parts list of regulatory elements to an integrated splicing code,2008,RNA,,
1hop_referenced,https://openalex.org/W2103777723,,,https://doi.org/10.1186/gb-2007-8-2-r24,Quantifying similarity between motifs,2007,Genome biology,,
1hop_referenced,https://openalex.org/W2117179531,,,https://doi.org/10.1186/gb-2006-7-s1-s10,"Automatic annotation of eukaryotic genes, pseudogenes and promoters",2006,Genome biology,,
1hop_referenced,https://openalex.org/W2117757143,,,https://doi.org/10.1038/nmeth.2688,"Transposition of native chromatin for fast and sensitive epigenomic profiling of open chromatin, DNA-binding proteins and nucleosome position",2013,Nature Methods,,
1hop_referenced,https://openalex.org/W2118118849,,,https://doi.org/10.1093/nar/gkr028,Crosstalk between c-Jun and TAp73α/β contributes to the apoptosis–survival balance,2011,Nucleic Acids Research,,
1hop_referenced,https://openalex.org/W2122732537,,,https://doi.org/10.1093/nar/29.1.308,dbSNP: the NCBI database of genetic variation,2001,Nucleic Acids Research,,
1hop_referenced,https://openalex.org/W2137552931,,,https://doi.org/10.1002/0471250953.bi0407s01,Application of First<scp>EF</scp> to Find Promoters and First Exons in the Human Genome,2003,Current Protocols in Bioinformatics,,
1hop_referenced,https://openalex.org/W2142768995,,,https://doi.org/10.3410/b4-8,The context of gene expression regulation,2012,F1000 Biology Reports,,
1hop_referenced,https://openalex.org/W2147380886,,,https://doi.org/10.1093/nar/gks1233,"EPD and EPDnew, high-quality promoter resources in the next-generation sequencing era",2012,Nucleic Acids Research,,
1hop_referenced,https://openalex.org/W2151464048,,,https://doi.org/10.1038/nature01262,Initial sequencing and comparative analysis of the mouse genome,2002,Nature,,
1hop_referenced,https://openalex.org/W2154866190,,,https://doi.org/10.1093/nar/gkt1113,ClinVar: public archive of relationships among sequence variation and human phenotype,2013,Nucleic Acids Research,,
1hop_referenced,https://openalex.org/W2157368769,,,https://doi.org/10.1136/jmg.2006.045377,<i>MYO7A</i> mutation screening in Usher syndrome type I patients from diverse origins,2007,Journal of Medical Genetics,,
1hop_referenced,https://openalex.org/W2163922914,,,https://doi.org/10.1109/tpami.2013.50,Representation Learning: A Review and New Perspectives,2013,IEEE Transactions on Pattern Analysis and Machine Intelligence,,
1hop_referenced,https://openalex.org/W2198606573,,,https://doi.org/10.1038/nmeth.3547,Predicting effects of noncoding variants with deep learning–based sequence model,2015,Nature Methods,,
1hop_referenced,https://openalex.org/W2259938310,,,https://doi.org/10.1038/nature11247,An integrated encyclopedia of DNA elements in the human genome,2012,Nature,,
1hop_referenced,https://openalex.org/W2336509392,,,https://doi.org/10.1093/nar/gkw226,DanQ: a hybrid convolutional and recurrent deep neural network for quantifying the function of DNA sequences,2016,Nucleic Acids Research,,
1hop_referenced,https://openalex.org/W2345512687,,,https://doi.org/10.1101/gr.200535.115,Basset: learning the regulatory code of the accessible genome with deep convolutional neural networks,2016,Genome Research,,
1hop_referenced,https://openalex.org/W2415245143,,,https://doi.org/10.1093/bioinformatics/btw288,Predicting regulatory variants with composite statistic,2016,Bioinformatics,,
1hop_referenced,https://openalex.org/W2519244818,,,,An integrated encyclopedia of DNA elements in the human genome,2012,The Journal of the American Medical Association (JAMA) Network (American Medical Association),,
1hop_referenced,https://openalex.org/W2554247923,,,https://doi.org/10.1109/bibm.2016.7822515,DeeperBind: Enhancing prediction of sequence specificities of DNA binding proteins,2016,,,
1hop_referenced,https://openalex.org/W2624572223,,,https://doi.org/10.1158/1541-7786.mcr-16-0459,The Landscape of Isoform Switches in Human Cancers,2017,Molecular Cancer Research,,
1hop_referenced,https://openalex.org/W2737543579,,,https://doi.org/10.1038/nprot.2017.055,Mapping genome-wide transcription-factor binding sites using DAP-seq,2017,Nature Protocols,,
1hop_referenced,https://openalex.org/W2795716241,,,https://doi.org/10.1093/nar/gky237,A novel method for improved accuracy of transcription factor binding site prediction,2018,Nucleic Acids Research,,
1hop_referenced,https://openalex.org/W2888546502,,,https://doi.org/10.3892/ol.2018.9350,Interaction of polymorphisms in xeroderma pigmentosum group C with cigarette smoking and pancreatic cancer risk,2018,Oncology Letters,,
1hop_referenced,https://openalex.org/W2896262061,,,https://doi.org/10.1038/s41598-018-33321-1,Recurrent Neural Network for Predicting Transcription Factor Binding Sites,2018,Scientific Reports,,
1hop_referenced,https://openalex.org/W2901218091,,,https://doi.org/10.1038/s41588-018-0295-5,A primer on deep learning in genomics,2018,Nature Genetics,,
1hop_referenced,https://openalex.org/W2901303766,,,https://doi.org/10.1093/nar/gky1120,"The NHGRI-EBI GWAS Catalog of published genome-wide association studies, targeted arrays and summary statistics 2019",2018,Nucleic Acids Research,,
